

**************  RUNNING N = 32 THREADS WITH n = 20000000  **************

Process 25: Worker Time:  took  0.1567 seconds
Process 27: Worker Time:  took  0.1602 seconds
Process 23: Worker Time:  took  0.1440 seconds
Process 28: Worker Time:  took  0.1670 seconds
Process 29: Worker Time:  took  0.1636 seconds
Process 30: Worker Time:  took  0.1650 seconds
Process 24: Worker Time:  took  0.1704 seconds
Process 31: Worker Time:  took  0.1597 seconds
Process 0: Allocation   took  0.0659 seconds
Process 0: Conversion   took  0.1113 seconds
Process 1: Conversion   took  0.1255 seconds
Process 2: Conversion   took  0.1270 seconds
Process 3: Conversion   took  0.1118 seconds
Process 4: Conversion   took  0.1367 seconds
Process 5: Conversion   took  0.1323 seconds
Process 6: Conversion   took  0.1338 seconds
Process 7: Conversion   took  0.1211 seconds
Process 8: Conversion   took  0.1494 seconds
Process 9: Conversion   took  0.1377 seconds
Process 10: Conversion   took  0.1396 seconds
Process 11: Conversion   took  0.1377 seconds
Process 12: Conversion   took  0.1436 seconds
Process 13: Conversion   took  0.1401 seconds
Process 14: Conversion   took  0.1416 seconds
Process 15: Conversion   took  0.1226 seconds
Process 16: Conversion   took  0.1787 seconds
Process 17: Conversion   took  0.1299 seconds
Process 18: Conversion   took  0.1465 seconds
Process 19: Conversion   took  0.1445 seconds
Process 20: Conversion   took  0.1484 seconds
Process 21: Conversion   took  0.1250 seconds
Process 22: Conversion   took  0.1455 seconds
Process 23: Conversion   took  0.1440 seconds
Process 24: Conversion   took  0.1704 seconds
Process 25: Conversion   took  0.1567 seconds
Process 26: Conversion   took  0.1611 seconds
Process 27: Conversion   took  0.1602 seconds
Process 28: Conversion   took  0.1670 seconds
Process 29: Conversion   took  0.1636 seconds
Process 30: Conversion   took  0.1650 seconds
Process 31: Conversion   took  0.1597 seconds
Process 0: Sum of All   took  4.4668 seconds
Process 0: Conversion Time - Wall clock took  0.2661 seconds
Process 0: Deallocation took  0.0039 seconds
Result: 20000000 = 8639162 (0s) + 11360838 (1s)
Process 26: Worker Time:  took  0.1611 seconds


Process 4: Worker Time:  took  0.1221 seconds
Process 1: Worker Time:  took  0.1172 seconds
Process 2: Worker Time:  took  0.1191 seconds
Process 5: Worker Time:  took  0.1172 seconds
Process 3: Worker Time:  took  0.1123 seconds
Process 8: Worker Time:  took  0.1489 seconds
Process 7: Worker Time:  took  0.1172 seconds
Process 9: Worker Time:  took  0.1196 seconds
Process 6: Worker Time:  took  0.1191 seconds
Process 10: Worker Time:  took  0.1421 seconds
Process 13: Worker Time:  took  0.1396 seconds
Process 12: Worker Time:  took  0.1450 seconds
Process 14: Worker Time:  took  0.1411 seconds
Process 16: Worker Time:  took  0.1777 seconds
Process 17: Worker Time:  took  0.1504 seconds
Process 18: Worker Time:  took  0.1514 seconds
Process 15: Worker Time:  took  0.1221 seconds
Process 19: Worker Time:  took  0.1455 seconds
Process 22: Worker Time:  took  0.1587 seconds
Process 20: Worker Time:  took  0.1611 seconds
Process 21: Worker Time:  took  0.1470 seconds
Process 23: Worker Time:  took  0.1582 seconds
Process 25: Worker Time:  took  0.1523 seconds
Process 26: Worker Time:  took  0.1567 seconds
Process 27: Worker Time:  took  0.1543 seconds
Process 28: Worker Time:  took  0.1636 seconds
Process 29: Worker Time:  took  0.1582 seconds
Process 30: Worker Time:  took  0.1616 seconds
Process 11: Worker Time:  took  0.1411 seconds
Process 0: Allocation   took  0.0654 seconds
Process 0: Conversion   took  0.1113 seconds
Process 1: Conversion   took  0.1172 seconds
Process 2: Conversion   took  0.1191 seconds
Process 3: Conversion   took  0.1123 seconds
Process 4: Conversion   took  0.1221 seconds
Process 5: Conversion   took  0.1172 seconds
Process 6: Conversion   took  0.1191 seconds
Process 7: Conversion   took  0.1172 seconds
Process 8: Conversion   took  0.1489 seconds
Process 9: Conversion   took  0.1196 seconds
Process 10: Conversion   took  0.1421 seconds
Process 11: Conversion   took  0.1411 seconds
Process 12: Conversion   took  0.1450 seconds
Process 13: Conversion   took  0.1396 seconds
Process 14: Conversion   took  0.1411 seconds
Process 15: Conversion   took  0.1221 seconds
Process 16: Conversion   took  0.1777 seconds
Process 17: Conversion   took  0.1504 seconds
Process 18: Conversion   took  0.1514 seconds
Process 19: Conversion   took  0.1455 seconds
Process 20: Conversion   took  0.1611 seconds
Process 21: Conversion   took  0.1470 seconds
Process 22: Conversion   took  0.1587 seconds
Process 23: Conversion   took  0.1582 seconds
Process 24: Conversion   took  0.1694 seconds
Process 25: Conversion   took  0.1523 seconds
Process 26: Conversion   took  0.1567 seconds
Process 27: Conversion   took  0.1543 seconds
Process 28: Conversion   took  0.1636 seconds
Process 29: Conversion   took  0.1582 seconds
Process 30: Conversion   took  0.1616 seconds
Process 31: Conversion   took  0.1602 seconds
Process 0: Sum of All   took  4.4502 seconds
Process 0: Conversion Time - Wall clock took  0.2656 seconds
Process 0: Deallocation took  0.0039 seconds
Result: 20000000 = 8639162 (0s) + 11360838 (1s)
Process 31: Worker Time:  took  0.1602 seconds
Process 24: Worker Time:  took  0.1694 seconds


Process 1: Worker Time:  took  0.1421 seconds
Process 3: Worker Time:  took  0.1118 seconds
Process 4: Worker Time:  took  0.1465 seconds
Process 2: Worker Time:  took  0.1440 seconds
Process 6: Worker Time:  took  0.1396 seconds
Process 7: Worker Time:  took  0.1387 seconds
Process 8: Worker Time:  took  0.1514 seconds
Process 9: Worker Time:  took  0.1411 seconds
Process 5: Worker Time:  took  0.1143 seconds
Process 10: Worker Time:  took  0.1426 seconds
Process 11: Worker Time:  took  0.1206 seconds
Process 12: Worker Time:  took  0.1460 seconds
Process 13: Worker Time:  took  0.1206 seconds
Process 14: Worker Time:  took  0.1226 seconds
Process 15: Worker Time:  took  0.1177 seconds
Process 16: Worker Time:  took  0.1787 seconds
Process 17: Worker Time:  took  0.1396 seconds
Process 18: Worker Time:  took  0.1475 seconds
Process 20: Worker Time:  took  0.1543 seconds
Process 21: Worker Time:  took  0.1230 seconds
Process 23: Worker Time:  took  0.1514 seconds
Process 19: Worker Time:  took  0.1455 seconds
Process 26: Worker Time:  took  0.1606 seconds
Process 27: Worker Time:  took  0.1602 seconds
Process 28: Worker Time:  took  0.1641 seconds
Process 25: Worker Time:  took  0.1562 seconds
Process 30: Worker Time:  took  0.1621 seconds
Process 22: Worker Time:  took  0.1528 seconds
Process 31: Worker Time:  took  0.1606 seconds
Process 29: Worker Time:  took  0.1562 seconds
Process 24: Worker Time:  took  0.1689 seconds
Process 0: Allocation   took  0.0659 seconds
Process 0: Conversion   took  0.1113 seconds
Process 1: Conversion   took  0.1421 seconds
Process 2: Conversion   took  0.1440 seconds
Process 3: Conversion   took  0.1118 seconds
Process 4: Conversion   took  0.1465 seconds
Process 5: Conversion   took  0.1143 seconds
Process 6: Conversion   took  0.1396 seconds
Process 7: Conversion   took  0.1387 seconds
Process 8: Conversion   took  0.1514 seconds
Process 9: Conversion   took  0.1411 seconds
Process 10: Conversion   took  0.1426 seconds
Process 11: Conversion   took  0.1206 seconds
Process 12: Conversion   took  0.1460 seconds
Process 13: Conversion   took  0.1206 seconds
Process 14: Conversion   took  0.1226 seconds
Process 15: Conversion   took  0.1177 seconds
Process 16: Conversion   took  0.1787 seconds
Process 17: Conversion   took  0.1396 seconds
Process 18: Conversion   took  0.1475 seconds
Process 19: Conversion   took  0.1455 seconds
Process 20: Conversion   took  0.1543 seconds
Process 21: Conversion   took  0.1230 seconds
Process 22: Conversion   took  0.1528 seconds
Process 23: Conversion   took  0.1514 seconds
Process 24: Conversion   took  0.1689 seconds
Process 25: Conversion   took  0.1562 seconds
Process 26: Conversion   took  0.1606 seconds
Process 27: Conversion   took  0.1602 seconds
Process 28: Conversion   took  0.1641 seconds
Process 29: Conversion   took  0.1562 seconds
Process 30: Conversion   took  0.1621 seconds
Process 31: Conversion   took  0.1606 seconds
Process 0: Sum of All   took  4.4814 seconds
Process 0: Conversion Time - Wall clock took  0.2656 seconds
Process 0: Deallocation took  0.0039 seconds
Result: 20000000 = 8639162 (0s) + 11360838 (1s)


Process 4: Worker Time:  took  0.1396 seconds
Process 3: Worker Time:  took  0.1177 seconds
Process 2: Worker Time:  took  0.1201 seconds
Process 6: Worker Time:  took  0.1377 seconds
Process 5: Worker Time:  took  0.1123 seconds
Process 8: Worker Time:  took  0.1558 seconds
Process 1: Worker Time:  took  0.1182 seconds
Process 7: Worker Time:  took  0.1362 seconds
Process 10: Worker Time:  took  0.1455 seconds
Process 9: Worker Time:  took  0.1406 seconds
Process 12: Worker Time:  took  0.1499 seconds
Process 13: Worker Time:  took  0.1211 seconds
Process 11: Worker Time:  took  0.1436 seconds
Process 14: Worker Time:  took  0.1460 seconds
Process 16: Worker Time:  took  0.1743 seconds
Process 15: Worker Time:  took  0.1445 seconds
Process 18: Worker Time:  took  0.1470 seconds
Process 19: Worker Time:  took  0.1445 seconds
Process 20: Worker Time:  took  0.1489 seconds
Process 17: Worker Time:  took  0.1240 seconds
Process 26: Worker Time:  took  0.1587 seconds
Process 21: Worker Time:  took  0.1230 seconds
Process 27: Worker Time:  took  0.1572 seconds
Process 25: Worker Time:  took  0.1548 seconds
Process 22: Worker Time:  took  0.1436 seconds
Process 28: Worker Time:  took  0.1626 seconds
Process 23: Worker Time:  took  0.1411 seconds
Process 29: Worker Time:  took  0.1558 seconds
Process 30: Worker Time:  took  0.1606 seconds
Process 24: Worker Time:  took  0.1665 seconds
Process 0: Allocation   took  0.0659 seconds
Process 0: Conversion   took  0.1069 seconds
Process 1: Conversion   took  0.1182 seconds
Process 2: Conversion   took  0.1201 seconds
Process 3: Conversion   took  0.1177 seconds
Process 4: Conversion   took  0.1396 seconds
Process 5: Conversion   took  0.1123 seconds
Process 6: Conversion   took  0.1377 seconds
Process 7: Conversion   took  0.1362 seconds
Process 8: Conversion   took  0.1558 seconds
Process 9: Conversion   took  0.1406 seconds
Process 10: Conversion   took  0.1455 seconds
Process 11: Conversion   took  0.1436 seconds
Process 12: Conversion   took  0.1499 seconds
Process 13: Conversion   took  0.1211 seconds
Process 14: Conversion   took  0.1460 seconds
Process 15: Conversion   took  0.1445 seconds
Process 16: Conversion   took  0.1743 seconds
Process 17: Conversion   took  0.1240 seconds
Process 18: Conversion   took  0.1470 seconds
Process 19: Conversion   took  0.1445 seconds
Process 20: Conversion   took  0.1489 seconds
Process 21: Conversion   took  0.1230 seconds
Process 22: Conversion   took  0.1436 seconds
Process 23: Conversion   took  0.1411 seconds
Process 24: Conversion   took  0.1665 seconds
Process 25: Conversion   took  0.1548 seconds
Process 26: Conversion   took  0.1587 seconds
Process 27: Conversion   took  0.1572 seconds
Process 28: Conversion   took  0.1626 seconds
Process 29: Conversion   took  0.1558 seconds
Process 30: Conversion   took  0.1606 seconds
Process 31: Conversion   took  0.1592 seconds
Process 0: Sum of All   took  4.4507 seconds
Process 0: Conversion Time - Wall clock took  0.2622 seconds
Process 0: Deallocation took  0.0039 seconds
Result: 20000000 = 8639162 (0s) + 11360838 (1s)
Process 31: Worker Time:  took  0.1592 seconds


